Wait Time,Nationality,Outcome,Period in which decisions made,Count
Under 6 months,Cameroon,Refusal,2011 Q2,6
1 year to under 1.5 years,Cameroon,Refusal,2011 Q2,1
2 years to under 2.5 years,Cameroon,Refusal,2011 Q2,1
Under 6 months,Canada,Refusal,2011 Q2,1
Under 6 months,Chad,Grant,2011 Q2,1
Under 6 months,Chad,Refusal,2011 Q2,1
Under 6 months,Chile,Grant,2011 Q2,1
Under 6 months,China,Grant,2011 Q2,31
6 months to under 1 year,China,Grant,2011 Q2,1
1 year to under 1.5 years,China,Grant,2011 Q2,2
2 years to under 2.5 years,China,Grant,2011 Q2,1
Under 6 months,China,Refusal,2011 Q2,129
6 months to under 1 year,China,Refusal,2011 Q2,4
1 year to under 1.5 years,China,Refusal,2011 Q2,4
1.5 years to under 2 years,China,Refusal,2011 Q2,2
2 years to under 2.5 years,China,Refusal,2011 Q2,3
2.5 years to under 3 years,China,Refusal,2011 Q2,1
3 years or more,China,Refusal,2011 Q2,4
Under 6 months,Colombia,Grant,2011 Q2,1
Under 6 months,Colombia,Refusal,2011 Q2,4
Under 6 months,Congo,Refusal,2011 Q2,2
6 months to under 1 year,Congo,Refusal,2011 Q2,1
1 year to under 1.5 years,Congo,Refusal,2011 Q2,1
1.5 years to under 2 years,Congo,Refusal,2011 Q2,1
Under 6 months,Congo (Democratic Republic),Grant,2011 Q2,9
6 months to under 1 year,Congo (Democratic Republic),Grant,2011 Q2,3
1 year to under 1.5 years,Congo (Democratic Republic),Grant,2011 Q2,2
3 years or more,Congo (Democratic Republic),Grant,2011 Q2,1
Under 6 months,Congo (Democratic Republic),Refusal,2011 Q2,27
6 months to under 1 year,Congo (Democratic Republic),Refusal,2011 Q2,2
1.5 years to under 2 years,Congo (Democratic Republic),Refusal,2011 Q2,1
2 years to under 2.5 years,Congo (Democratic Republic),Refusal,2011 Q2,1
3 years or more,Congo (Democratic Republic),Refusal,2011 Q2,1
3 years or more,Djibouti,Refusal,2011 Q2,2
6 months to under 1 year,Dominica,Refusal,2011 Q2,1
Under 6 months,Egypt,Grant,2011 Q2,3
6 months to under 1 year,Egypt,Grant,2011 Q2,1
Under 6 months,Egypt,Refusal,2011 Q2,16
6 months to under 1 year,Egypt,Refusal,2011 Q2,1
Under 6 months,Eritrea,Grant,2011 Q2,137
6 months to under 1 year,Eritrea,Grant,2011 Q2,3
1 year to under 1.5 years,Eritrea,Grant,2011 Q2,1
1.5 years to under 2 years,Eritrea,Grant,2011 Q2,4
2 years to under 2.5 years,Eritrea,Grant,2011 Q2,2
2.5 years to under 3 years,Eritrea,Grant,2011 Q2,4
3 years or more,Eritrea,Grant,2011 Q2,2
Under 6 months,Eritrea,Refusal,2011 Q2,45
6 months to under 1 year,Eritrea,Refusal,2011 Q2,1
1 year to under 1.5 years,Eritrea,Refusal,2011 Q2,1
1.5 years to under 2 years,Eritrea,Refusal,2011 Q2,1
2 years to under 2.5 years,Eritrea,Refusal,2011 Q2,2
2.5 years to under 3 years,Eritrea,Refusal,2011 Q2,2
3 years or more,Eritrea,Refusal,2011 Q2,1
Under 6 months,Ethiopia,Grant,2011 Q2,11
3 years or more,Ethiopia,Grant,2011 Q2,1
Under 6 months,Ethiopia,Refusal,2011 Q2,15
2.5 years to under 3 years,Ethiopia,Refusal,2011 Q2,1
3 years or more,Ethiopia,Refusal,2011 Q2,1
Under 6 months,"Gambia, The",Grant,2011 Q2,19
1 year to under 1.5 years,"Gambia, The",Grant,2011 Q2,1
Under 6 months,"Gambia, The",Refusal,2011 Q2,35
6 months to under 1 year,"Gambia, The",Refusal,2011 Q2,1
2.5 years to under 3 years,"Gambia, The",Refusal,2011 Q2,1
Under 6 months,Georgia,Refusal,2011 Q2,2
1 year to under 1.5 years,Georgia,Refusal,2011 Q2,1
2.5 years to under 3 years,Georgia,Refusal,2011 Q2,1
Under 6 months,Ghana,Grant,2011 Q2,1
6 months to under 1 year,Ghana,Grant,2011 Q2,1
Under 6 months,Ghana,Refusal,2011 Q2,22
1 year to under 1.5 years,Ghana,Refusal,2011 Q2,2
3 years or more,Ghana,Refusal,2011 Q2,1
Under 6 months,Grenada,Grant,2011 Q2,1
Under 6 months,Grenada,Refusal,2011 Q2,1
Under 6 months,Guinea,Grant,2011 Q2,2
1.5 years to under 2 years,Guinea,Grant,2011 Q2,1
2.5 years to under 3 years,Guinea,Grant,2011 Q2,1
Under 6 months,Guinea,Refusal,2011 Q2,6
6 months to under 1 year,Guinea,Refusal,2011 Q2,1
1 year to under 1.5 years,Guyana,Grant,2011 Q2,1
Under 6 months,Honduras,Refusal,2011 Q2,2
1.5 years to under 2 years,Honduras,Refusal,2011 Q2,1
Under 6 months,India,Grant,2011 Q2,1
1 year to under 1.5 years,India,Grant,2011 Q2,1
3 years or more,India,Grant,2011 Q2,1
Under 6 months,India,Refusal,2011 Q2,76
6 months to under 1 year,India,Refusal,2011 Q2,3
1 year to under 1.5 years,India,Refusal,2011 Q2,1
2 years to under 2.5 years,India,Refusal,2011 Q2,2
3 years or more,India,Refusal,2011 Q2,3
Under 6 months,Iran,Grant,2011 Q2,188
6 months to under 1 year,Iran,Grant,2011 Q2,3
1 year to under 1.5 years,Iran,Grant,2011 Q2,2
3 years or more,Iran,Grant,2011 Q2,4
Under 6 months,Iran,Refusal,2011 Q2,231
6 months to under 1 year,Iran,Refusal,2011 Q2,9
1 year to under 1.5 years,Iran,Refusal,2011 Q2,1
1.5 years to under 2 years,Iran,Refusal,2011 Q2,2
2 years to under 2.5 years,Iran,Refusal,2011 Q2,3
2.5 years to under 3 years,Iran,Refusal,2011 Q2,2
3 years or more,Iran,Refusal,2011 Q2,5
Under 6 months,Iraq,Grant,2011 Q2,15
6 months to under 1 year,Iraq,Grant,2011 Q2,1
2 years to under 2.5 years,Iraq,Grant,2011 Q2,2
2.5 years to under 3 years,Iraq,Grant,2011 Q2,1
3 years or more,Iraq,Grant,2011 Q2,3
Under 6 months,Iraq,Refusal,2011 Q2,41
6 months to under 1 year,Iraq,Refusal,2011 Q2,4
2 years to under 2.5 years,Iraq,Refusal,2011 Q2,3
2.5 years to under 3 years,Iraq,Refusal,2011 Q2,2
3 years or more,Iraq,Refusal,2011 Q2,4
3 years or more,Israel,Grant,2011 Q2,1
Under 6 months,Israel,Refusal,2011 Q2,1
Under 6 months,Ivory Coast,Grant,2011 Q2,4
6 months to under 1 year,Ivory Coast,Grant,2011 Q2,1
Under 6 months,Ivory Coast,Refusal,2011 Q2,50
1 year to under 1.5 years,Ivory Coast,Refusal,2011 Q2,1
1.5 years to under 2 years,Ivory Coast,Refusal,2011 Q2,1
2.5 years to under 3 years,Ivory Coast,Refusal,2011 Q2,1
3 years or more,Ivory Coast,Refusal,2011 Q2,1
Under 6 months,Jamaica,Grant,2011 Q2,9
Under 6 months,Jamaica,Refusal,2011 Q2,18
6 months to under 1 year,Jamaica,Refusal,2011 Q2,2
1.5 years to under 2 years,Jamaica,Refusal,2011 Q2,1
2 years to under 2.5 years,Jamaica,Refusal,2011 Q2,1
Under 6 months,Japan,Refusal,2011 Q2,2
Under 6 months,Jordan,Refusal,2011 Q2,4
Under 6 months,Kenya,Grant,2011 Q2,6
6 months to under 1 year,Kenya,Grant,2011 Q2,1
Under 6 months,Kenya,Refusal,2011 Q2,19
6 months to under 1 year,Kenya,Refusal,2011 Q2,2
1 year to under 1.5 years,Kenya,Refusal,2011 Q2,1
Under 6 months,Korea (North),Grant,2011 Q2,1
6 months to under 1 year,Korea (North),Grant,2011 Q2,1
2.5 years to under 3 years,Korea (North),Grant,2011 Q2,1
Under 6 months,Korea (North),Refusal,2011 Q2,3
6 months to under 1 year,Korea (North),Refusal,2011 Q2,1
3 years or more,Korea (North),Refusal,2011 Q2,1
Under 6 months,Korea (South),Grant,2011 Q2,1
3 years or more,Kosovo,Grant,2011 Q2,1
Under 6 months,Kosovo,Refusal,2011 Q2,3
Under 6 months,Kuwait,Grant,2011 Q2,2
2.5 years to under 3 years,Kuwait,Grant,2011 Q2,1
3 years or more,Kuwait,Grant,2011 Q2,1
Under 6 months,Kuwait,Refusal,2011 Q2,7
2 years to under 2.5 years,Kuwait,Refusal,2011 Q2,1
Under 6 months,Kyrgyzstan,Grant,2011 Q2,2
Under 6 months,Kyrgyzstan,Refusal,2011 Q2,1
Under 6 months,Lebanon,Grant,2011 Q2,1
Under 6 months,Lebanon,Refusal,2011 Q2,5
6 months to under 1 year,Lebanon,Refusal,2011 Q2,1
Under 6 months,Lesotho,Refusal,2011 Q2,1
Under 6 months,Liberia,Refusal,2011 Q2,1
Under 6 months,Libya,Grant,2011 Q2,50
Under 6 months,Libya,Refusal,2011 Q2,194
Under 6 months,Macedonia,Refusal,2011 Q2,1
Under 6 months,Malawi,Grant,2011 Q2,4
Under 6 months,Malawi,Refusal,2011 Q2,21
6 months to under 1 year,Malawi,Refusal,2011 Q2,1
Under 6 months,Malaysia,Grant,2011 Q2,1
1.5 years to under 2 years,Malaysia,Grant,2011 Q2,1
Under 6 months,Malaysia,Refusal,2011 Q2,9
6 months to under 1 year,Malaysia,Refusal,2011 Q2,1
3 years or more,Malaysia,Refusal,2011 Q2,1
Under 6 months,Mali,Grant,2011 Q2,2
Under 6 months,Mali,Refusal,2011 Q2,1
Under 6 months,Mauritania,Grant,2011 Q2,1
Under 6 months,Mauritius,Refusal,2011 Q2,7
1.5 years to under 2 years,Mauritius,Refusal,2011 Q2,1
Under 6 months,Mexico,Refusal,2011 Q2,1
Under 6 months,Moldova,Refusal,2011 Q2,2
6 months to under 1 year,Mongolia,Grant,2011 Q2,3
2.5 years to under 3 years,Mongolia,Grant,2011 Q2,1
Under 6 months,Mongolia,Refusal,2011 Q2,4
Under 6 months,Morocco,Grant,2011 Q2,5
Under 6 months,Morocco,Refusal,2011 Q2,7
6 months to under 1 year,Morocco,Refusal,2011 Q2,1
2 years to under 2.5 years,Morocco,Refusal,2011 Q2,1
3 years or more,Morocco,Refusal,2011 Q2,1
Under 6 months,Namibia,Refusal,2011 Q2,2
3 years or more,Namibia,Refusal,2011 Q2,1
Under 6 months,Nauru,Refusal,2011 Q2,1
Under 6 months,Nepal,Refusal,2011 Q2,11
Under 6 months,Niger,Refusal,2011 Q2,1
Under 6 months,Nigeria,Grant,2011 Q2,13
6 months to under 1 year,Nigeria,Grant,2011 Q2,5
1 year to under 1.5 years,Nigeria,Grant,2011 Q2,1
1.5 years to under 2 years,Nigeria,Grant,2011 Q2,1
3 years or more,Nigeria,Grant,2011 Q2,1
Under 6 months,Nigeria,Refusal,2011 Q2,128
6 months to under 1 year,Nigeria,Refusal,2011 Q2,2
1 year to under 1.5 years,Nigeria,Refusal,2011 Q2,1
1.5 years to under 2 years,Nigeria,Refusal,2011 Q2,7
2 years to under 2.5 years,Nigeria,Refusal,2011 Q2,2
2.5 years to under 3 years,Nigeria,Refusal,2011 Q2,1
3 years or more,Nigeria,Refusal,2011 Q2,1
Under 6 months,Occupied Palestinian Territories,Grant,2011 Q2,8
Under 6 months,Occupied Palestinian Territories,Refusal,2011 Q2,30
6 months to under 1 year,Occupied Palestinian Territories,Refusal,2011 Q2,1
1.5 years to under 2 years,Occupied Palestinian Territories,Refusal,2011 Q2,1
3 years or more,Occupied Palestinian Territories,Refusal,2011 Q2,3
6 months to under 1 year,Other and unknown,Refusal,2011 Q2,1
Under 6 months,Pakistan,Grant,2011 Q2,52
6 months to under 1 year,Pakistan,Grant,2011 Q2,2
3 years or more,Pakistan,Grant,2011 Q2,1
Under 6 months,Pakistan,Refusal,2011 Q2,351
6 months to under 1 year,Pakistan,Refusal,2011 Q2,4
1 year to under 1.5 years,Pakistan,Refusal,2011 Q2,2
1.5 years to under 2 years,Pakistan,Refusal,2011 Q2,1
2 years to under 2.5 years,Pakistan,Refusal,2011 Q2,5
2.5 years to under 3 years,Pakistan,Refusal,2011 Q2,1
3 years or more,Pakistan,Refusal,2011 Q2,3
Under 6 months,Refugee,Grant,2011 Q2,51
6 months to under 1 year,Refugee,Grant,2011 Q2,1
Under 6 months,Refugee,Refusal,2011 Q2,6
Under 6 months,Russia,Grant,2011 Q2,1
1.5 years to under 2 years,Russia,Grant,2011 Q2,1
Under 6 months,Russia,Refusal,2011 Q2,4
6 months to under 1 year,Russia,Refusal,2011 Q2,1
1 year to under 1.5 years,Russia,Refusal,2011 Q2,1
Under 6 months,Rwanda,Grant,2011 Q2,1
Under 6 months,Rwanda,Refusal,2011 Q2,1
Under 6 months,Saudi Arabia,Grant,2011 Q2,1
Under 6 months,Senegal,Grant,2011 Q2,3
Under 6 months,Senegal,Refusal,2011 Q2,12
6 months to under 1 year,Senegal,Refusal,2011 Q2,1
Under 6 months,Sierra Leone,Grant,2011 Q2,5
1 year to under 1.5 years,Sierra Leone,Grant,2011 Q2,1
Under 6 months,Sierra Leone,Refusal,2011 Q2,9
6 months to under 1 year,Sierra Leone,Refusal,2011 Q2,2
1 year to under 1.5 years,Sierra Leone,Refusal,2011 Q2,1
Under 6 months,Somalia,Grant,2011 Q2,61
6 months to under 1 year,Somalia,Grant,2011 Q2,5
1 year to under 1.5 years,Somalia,Grant,2011 Q2,1
2 years to under 2.5 years,Somalia,Grant,2011 Q2,3
2.5 years to under 3 years,Somalia,Grant,2011 Q2,2
3 years or more,Somalia,Grant,2011 Q2,2
Under 6 months,Somalia,Refusal,2011 Q2,39
1.5 years to under 2 years,Somalia,Refusal,2011 Q2,2
2 years to under 2.5 years,Somalia,Refusal,2011 Q2,3
2.5 years to under 3 years,Somalia,Refusal,2011 Q2,3
Under 6 months,South Africa,Grant,2011 Q2,1
Under 6 months,South Africa,Refusal,2011 Q2,11
6 months to under 1 year,South Africa,Refusal,2011 Q2,1
2 years to under 2.5 years,South Africa,Refusal,2011 Q2,1
Under 6 months,Sri Lanka,Grant,2011 Q2,89
6 months to under 1 year,Sri Lanka,Grant,2011 Q2,1
1.5 years to under 2 years,Sri Lanka,Grant,2011 Q2,1
Under 6 months,Sri Lanka,Refusal,2011 Q2,299
6 months to under 1 year,Sri Lanka,Refusal,2011 Q2,5
1 year to under 1.5 years,Sri Lanka,Refusal,2011 Q2,2
1.5 years to under 2 years,Sri Lanka,Refusal,2011 Q2,3
2 years to under 2.5 years,Sri Lanka,Refusal,2011 Q2,4
3 years or more,Sri Lanka,Refusal,2011 Q2,6
Under 6 months,St. Kitts and Nevis,Refusal,2011 Q2,1
Under 6 months,St. Lucia,Refusal,2011 Q2,1
6 months to under 1 year,St. Lucia,Refusal,2011 Q2,1
Under 6 months,St. Vincent and the Grenadines,Refusal,2011 Q2,1
3 years or more,St. Vincent and the Grenadines,Refusal,2011 Q2,1
Under 6 months,Stateless,Grant,2011 Q2,9
Under 6 months,Stateless,Refusal,2011 Q2,12
6 months to under 1 year,Stateless,Refusal,2011 Q2,2
Under 6 months,Sudan,Grant,2011 Q2,133
6 months to under 1 year,Sudan,Grant,2011 Q2,1
2 years to under 2.5 years,Sudan,Grant,2011 Q2,2
2.5 years to under 3 years,Sudan,Grant,2011 Q2,1
Under 6 months,Sudan,Refusal,2011 Q2,30
6 months to under 1 year,Sudan,Refusal,2011 Q2,1
1 year to under 1.5 years,Sudan,Refusal,2011 Q2,4
2 years to under 2.5 years,Sudan,Refusal,2011 Q2,2
Under 6 months,Surinam,Refusal,2011 Q2,1
Under 6 months,Swaziland,Refusal,2011 Q2,2
Under 6 months,Syria,Grant,2011 Q2,5
6 months to under 1 year,Syria,Grant,2011 Q2,2
3 years or more,Syria,Grant,2011 Q2,1
Under 6 months,Syria,Refusal,2011 Q2,23
6 months to under 1 year,Syria,Refusal,2011 Q2,1
2 years to under 2.5 years,Syria,Refusal,2011 Q2,2
Under 6 months,Tanzania,Refusal,2011 Q2,8
3 years or more,Tanzania,Refusal,2011 Q2,2
Under 6 months,Thailand,Grant,2011 Q2,1
Under 6 months,Togo,Refusal,2011 Q2,1
Under 6 months,Trinidad and Tobago,Grant,2011 Q2,1
6 months to under 1 year,Trinidad and Tobago,Grant,2011 Q2,1
6 months to under 1 year,Trinidad and Tobago,Refusal,2011 Q2,1
Under 6 months,Tunisia,Grant,2011 Q2,1
Under 6 months,Tunisia,Refusal,2011 Q2,9
Under 6 months,Turkey,Grant,2011 Q2,14
6 months to under 1 year,Turkey,Grant,2011 Q2,1
1.5 years to under 2 years,Turkey,Grant,2011 Q2,1
2 years to under 2.5 years,Turkey,Grant,2011 Q2,1
Under 6 months,Turkey,Refusal,2011 Q2,22
2 years to under 2.5 years,Turkey,Refusal,2011 Q2,1
2.5 years to under 3 years,Turkey,Refusal,2011 Q2,1
3 years or more,Turkey,Refusal,2011 Q2,1
3 years or more,Tuvalu,Grant,2011 Q2,1
Under 6 months,Uganda,Grant,2011 Q2,25
6 months to under 1 year,Uganda,Grant,2011 Q2,3
3 years or more,Uganda,Grant,2011 Q2,1
Under 6 months,Uganda,Refusal,2011 Q2,34
6 months to under 1 year,Uganda,Refusal,2011 Q2,3
1.5 years to under 2 years,Uganda,Refusal,2011 Q2,1
2.5 years to under 3 years,Uganda,Refusal,2011 Q2,1
Under 6 months,Ukraine,Refusal,2011 Q2,2
Under 6 months,United Arab Emirates,Grant,2011 Q2,1
Under 6 months,United States,Refusal,2011 Q2,3
Under 6 months,Uzbekistan,Grant,2011 Q2,1
Under 6 months,Uzbekistan,Refusal,2011 Q2,2
Under 6 months,Vietnam,Grant,2011 Q2,12
6 months to under 1 year,Vietnam,Grant,2011 Q2,1
Under 6 months,Vietnam,Refusal,2011 Q2,13
1 year to under 1.5 years,Vietnam,Refusal,2011 Q2,1
2 years to under 2.5 years,Vietnam,Refusal,2011 Q2,1
2.5 years to under 3 years,Vietnam,Refusal,2011 Q2,1
3 years or more,Yemen,Grant,2011 Q2,1
Under 6 months,Yemen,Refusal,2011 Q2,7
Under 6 months,Zambia,Refusal,2011 Q2,1
Under 6 months,Zimbabwe,Grant,2011 Q2,36
2 years to under 2.5 years,Zimbabwe,Grant,2011 Q2,2
3 years or more,Zimbabwe,Grant,2011 Q2,1
Under 6 months,Zimbabwe,Refusal,2011 Q2,99
6 months to under 1 year,Zimbabwe,Refusal,2011 Q2,4
1 year to under 1.5 years,Zimbabwe,Refusal,2011 Q2,2
1.5 years to under 2 years,Zimbabwe,Refusal,2011 Q2,1
2 years to under 2.5 years,Zimbabwe,Refusal,2011 Q2,7
3 years or more,Zimbabwe,Refusal,2011 Q2,3
Under 6 months,Afghanistan,Grant,2011 Q3,86
6 months to under 1 year,Afghanistan,Grant,2011 Q3,10
1 year to under 1.5 years,Afghanistan,Grant,2011 Q3,2
2 years to under 2.5 years,Afghanistan,Grant,2011 Q3,2
2.5 years to under 3 years,Afghanistan,Grant,2011 Q3,2
3 years or more,Afghanistan,Grant,2011 Q3,4
Under 6 months,Afghanistan,Refusal,2011 Q3,132
6 months to under 1 year,Afghanistan,Refusal,2011 Q3,13
1 year to under 1.5 years,Afghanistan,Refusal,2011 Q3,3
1.5 years to under 2 years,Afghanistan,Refusal,2011 Q3,10
2 years to under 2.5 years,Afghanistan,Refusal,2011 Q3,15
2.5 years to under 3 years,Afghanistan,Refusal,2011 Q3,10
3 years or more,Afghanistan,Refusal,2011 Q3,20
Under 6 months,Albania,Grant,2011 Q3,22
Under 6 months,Albania,Refusal,2011 Q3,29
1 year to under 1.5 years,Albania,Refusal,2011 Q3,1
Under 6 months,Algeria,Grant,2011 Q3,7
6 months to under 1 year,Algeria,Grant,2011 Q3,1
Under 6 months,Algeria,Refusal,2011 Q3,42
6 months to under 1 year,Algeria,Refusal,2011 Q3,2
2 years to under 2.5 years,Algeria,Refusal,2011 Q3,1
2.5 years to under 3 years,Algeria,Refusal,2011 Q3,1
3 years or more,Algeria,Refusal,2011 Q3,1
Under 6 months,Angola,Grant,2011 Q3,4
Under 6 months,Angola,Refusal,2011 Q3,1
6 months to under 1 year,Angola,Refusal,2011 Q3,1
2.5 years to under 3 years,Angola,Refusal,2011 Q3,1
Under 6 months,Armenia,Refusal,2011 Q3,1
2.5 years to under 3 years,Armenia,Refusal,2011 Q3,1
Under 6 months,Azerbaijan,Refusal,2011 Q3,2
Under 6 months,Bahrain,Grant,2011 Q3,12
Under 6 months,Bahrain,Refusal,2011 Q3,8
Under 6 months,Bangladesh,Grant,2011 Q3,11
6 months to under 1 year,Bangladesh,Grant,2011 Q3,1
3 years or more,Bangladesh,Grant,2011 Q3,1
Under 6 months,Bangladesh,Refusal,2011 Q3,103
6 months to under 1 year,Bangladesh,Refusal,2011 Q3,2
2 years to under 2.5 years,Bangladesh,Refusal,2011 Q3,2
2.5 years to under 3 years,Bangladesh,Refusal,2011 Q3,1
3 years or more,Bangladesh,Refusal,2011 Q3,1
Under 6 months,Belarus,Grant,2011 Q3,2
3 years or more,Belarus,Grant,2011 Q3,1
Under 6 months,Belarus,Refusal,2011 Q3,1
Under 6 months,Benin,Refusal,2011 Q3,1
Under 6 months,Bhutan,Grant,2011 Q3,8
Under 6 months,Bhutan,Refusal,2011 Q3,1
Under 6 months,Bolivia,Refusal,2011 Q3,5
3 years or more,Bosnia and Herzegovina,Refusal,2011 Q3,1
Under 6 months,Brazil,Refusal,2011 Q3,5
6 months to under 1 year,British overseas citizens,Refusal,2011 Q3,1
Under 6 months,Burkina,Refusal,2011 Q3,1
Under 6 months,Burma,Grant,2011 Q3,22
2 years to under 2.5 years,Burma,Grant,2011 Q3,1
2.5 years to under 3 years,Burma,Grant,2011 Q3,1
Under 6 months,Burma,Refusal,2011 Q3,5
Under 6 months,Burundi,Grant,2011 Q3,1
6 months to under 1 year,Burundi,Grant,2011 Q3,1
3 years or more,Burundi,Grant,2011 Q3,1
Under 6 months,Cameroon,Grant,2011 Q3,5
6 months to under 1 year,Cameroon,Grant,2011 Q3,1
3 years or more,Cameroon,Grant,2011 Q3,1
Under 6 months,Cameroon,Refusal,2011 Q3,7
1.5 years to under 2 years,Cameroon,Refusal,2011 Q3,1
3 years or more,Chad,Grant,2011 Q3,1
6 months to under 1 year,Chad,Refusal,2011 Q3,2
Under 6 months,Chile,Refusal,2011 Q3,1
Under 6 months,China,Grant,2011 Q3,32
6 months to under 1 year,China,Grant,2011 Q3,2
1 year to under 1.5 years,China,Grant,2011 Q3,1
2.5 years to under 3 years,China,Grant,2011 Q3,2
3 years or more,China,Grant,2011 Q3,8
Under 6 months,China,Refusal,2011 Q3,107
6 months to under 1 year,China,Refusal,2011 Q3,2
1 year to under 1.5 years,China,Refusal,2011 Q3,1
1.5 years to under 2 years,China,Refusal,2011 Q3,1
2 years to under 2.5 years,China,Refusal,2011 Q3,2
3 years or more,China,Refusal,2011 Q3,11
Under 6 months,Colombia,Refusal,2011 Q3,4
3 years or more,Colombia,Refusal,2011 Q3,1
Under 6 months,Congo,Grant,2011 Q3,2
6 months to under 1 year,Congo,Grant,2011 Q3,1
Under 6 months,Congo,Refusal,2011 Q3,1
6 months to under 1 year,Congo,Refusal,2011 Q3,1
Under 6 months,Congo (Democratic Republic),Grant,2011 Q3,9
Under 6 months,Congo (Democratic Republic),Refusal,2011 Q3,11
6 months to under 1 year,Congo (Democratic Republic),Refusal,2011 Q3,3
1 year to under 1.5 years,Congo (Democratic Republic),Refusal,2011 Q3,1
2 years to under 2.5 years,Congo (Democratic Republic),Refusal,2011 Q3,1
2.5 years to under 3 years,Congo (Democratic Republic),Refusal,2011 Q3,1
Under 6 months,Croatia,Refusal,2011 Q3,1
3 years or more,Cuba,Grant,2011 Q3,1
Under 6 months,Dominica,Grant,2011 Q3,1
Under 6 months,Ecuador,Refusal,2011 Q3,1
Under 6 months,Egypt,Grant,2011 Q3,7
Under 6 months,Egypt,Refusal,2011 Q3,14
3 years or more,Egypt,Refusal,2011 Q3,1
Under 6 months,Eritrea,Grant,2011 Q3,174
6 months to under 1 year,Eritrea,Grant,2011 Q3,4
1 year to under 1.5 years,Eritrea,Grant,2011 Q3,2
2 years to under 2.5 years,Eritrea,Grant,2011 Q3,4
2.5 years to under 3 years,Eritrea,Grant,2011 Q3,3
3 years or more,Eritrea,Grant,2011 Q3,6
Under 6 months,Eritrea,Refusal,2011 Q3,48
6 months to under 1 year,Eritrea,Refusal,2011 Q3,1
2 years to under 2.5 years,Eritrea,Refusal,2011 Q3,2
2.5 years to under 3 years,Eritrea,Refusal,2011 Q3,2
3 years or more,Eritrea,Refusal,2011 Q3,2
Under 6 months,Ethiopia,Grant,2011 Q3,7
Under 6 months,Ethiopia,Refusal,2011 Q3,11
Under 6 months,Fiji,Refusal,2011 Q3,1
Under 6 months,Gabon,Refusal,2011 Q3,1
Under 6 months,"Gambia, The",Grant,2011 Q3,14
Under 6 months,"Gambia, The",Refusal,2011 Q3,28
2.5 years to under 3 years,"Gambia, The",Refusal,2011 Q3,1
2.5 years to under 3 years,Georgia,Grant,2011 Q3,1
Under 6 months,Georgia,Refusal,2011 Q3,1
2.5 years to under 3 years,Georgia,Refusal,2011 Q3,1
Under 6 months,Ghana,Grant,2011 Q3,4
1.5 years to under 2 years,Ghana,Grant,2011 Q3,1
2 years to under 2.5 years,Ghana,Grant,2011 Q3,1
Under 6 months,Ghana,Refusal,2011 Q3,22
6 months to under 1 year,Ghana,Refusal,2011 Q3,2
1 year to under 1.5 years,Ghana,Refusal,2011 Q3,1
2.5 years to under 3 years,Ghana,Refusal,2011 Q3,1
Under 6 months,Grenada,Refusal,2011 Q3,1
Under 6 months,Guinea,Grant,2011 Q3,1
6 months to under 1 year,Guinea,Grant,2011 Q3,1
Under 6 months,Guinea,Refusal,2011 Q3,8
6 months to under 1 year,Guinea,Refusal,2011 Q3,1
Under 6 months,Guyana,Refusal,2011 Q3,2
6 months to under 1 year,Guyana,Refusal,2011 Q3,1
Under 6 months,Hong Kong,Refusal,2011 Q3,1
Under 6 months,India,Grant,2011 Q3,2
3 years or more,India,Grant,2011 Q3,1
Under 6 months,India,Refusal,2011 Q3,58
6 months to under 1 year,India,Refusal,2011 Q3,5
2 years to under 2.5 years,India,Refusal,2011 Q3,1
2.5 years to under 3 years,India,Refusal,2011 Q3,2
3 years or more,India,Refusal,2011 Q3,1
Under 6 months,Iran,Grant,2011 Q3,232
